step,time_s,red_score,looming,visible,attack,mode,danger_score,forward_velocity,dragonfly_state
2001,0.20009999999999428,0.0,0.0,False,False,normal,0.0,9.336131308573368,rest
2002,0.20019999999999427,0.0,0.0,False,False,normal,0.0,9.336131345333152,rest
2003,0.20029999999999426,0.0,0.0,False,False,normal,0.0,9.335867349265982,rest
2004,0.20039999999999425,0.0,0.0,False,False,normal,0.0,9.33548752256529,rest
2005,0.20049999999999424,0.0,0.0,False,False,normal,0.0,9.33506107027726,rest
2006,0.20059999999999423,0.0,0.0,False,False,normal,0.0,9.334620926486423,rest
2007,0.20069999999999422,0.0,0.0,False,False,normal,0.0,9.334183851362926,rest
2008,0.2007999999999942,0.0,0.0,False,False,normal,0.0,9.33375861070581,rest
2009,0.2008999999999942,0.0,0.0,False,False,normal,0.0,9.333341878297803,rest
2010,0.20099999999999418,0.0,0.0,False,False,normal,0.0,9.332933387583141,rest
2011,0.20109999999999417,0.0,0.0,False,False,normal,0.0,9.332534314275229,rest
2012,0.20119999999999416,0.0,0.0,False,False,normal,0.0,9.332145920167566,rest
2013,0.20129999999999415,0.0,0.0,False,False,normal,0.0,9.331768970168387,rest
2014,0.20139999999999414,0.0,0.0,False,False,normal,0.0,9.331403408283142,rest
2015,0.20149999999999413,0.0,0.0,False,False,normal,0.0,9.331046306971082,rest
2016,0.20159999999999412,0.0,0.0,False,False,normal,0.0,9.330695442446169,rest
2017,0.2016999999999941,0.0,0.0,False,False,normal,0.0,9.330348324693134,rest
2018,0.2017999999999941,0.0,0.0,False,False,normal,0.0,9.330002755484438,rest
2019,0.20189999999999408,0.0,0.0,False,False,normal,0.0,9.329657912162656,rest
2020,0.20199999999999407,0.0,0.0,False,False,normal,0.0,9.329313973115594,rest
2021,0.20209999999999406,0.0,0.0,False,False,normal,0.0,9.32897177046998,rest
2022,0.20219999999999405,0.0,0.0,False,False,normal,0.0,9.3286308370393,rest
2023,0.20229999999999404,0.0,0.0,False,False,normal,0.0,9.328291924151062,rest
2024,0.20239999999999403,0.0,0.0,False,False,normal,0.0,9.32795743382197,rest
2025,0.20249999999999402,0.0,0.0,False,False,normal,0.0,9.32762918604194,rest
2026,0.202599999999994,0.0,0.0,False,False,normal,0.0,9.32730833718648,rest
2027,0.202699999999994,0.0,0.0,False,False,normal,0.0,9.326996244059867,rest
2028,0.20279999999999399,0.0,0.0,False,False,normal,0.0,9.32669205233432,rest
2029,0.20289999999999397,0.0,0.0,False,False,normal,0.0,9.32639489969587,rest
2030,0.20299999999999396,0.0,0.0,False,False,normal,0.0,9.326104432970379,rest
2031,0.20309999999999395,0.0,0.0,False,False,normal,0.0,9.325820389517459,rest
2032,0.20319999999999394,0.0,0.0,False,False,normal,0.0,9.325542367939152,rest
2033,0.20329999999999393,0.0,0.0,False,False,normal,0.0,9.325270651483901,rest
2034,0.20339999999999392,0.0,0.0,False,False,normal,0.0,9.325007337476892,rest
2035,0.2034999999999939,0.0,0.0,False,False,normal,0.0,9.324751907411404,rest
2036,0.2035999999999939,0.0,0.0,False,False,normal,0.0,9.32450195693726,rest
2037,0.20369999999999389,0.0,0.0,False,False,normal,0.0,9.324254454885134,rest
2038,0.20379999999999387,0.0,0.0,False,False,normal,0.0,9.324006725334954,rest
2039,0.20389999999999386,0.0,0.0,False,False,normal,0.0,9.323757089030817,rest
2040,0.20399999999999385,0.0,0.0,False,False,normal,0.0,9.323504867233966,rest
2041,0.20409999999999384,0.0,0.0,False,False,normal,0.0,9.323250112539093,rest
2042,0.20419999999999383,0.0,0.0,False,False,normal,0.0,9.32299350792045,rest
2043,0.20429999999999382,0.0,0.0,False,False,normal,0.0,9.322735852792025,rest
2044,0.2043999999999938,0.0,0.0,False,False,normal,0.0,9.322479498971934,rest
2045,0.2044999999999938,0.0,0.0,False,False,normal,0.0,9.322225370974452,rest
2046,0.2045999999999938,0.0,0.0,False,False,normal,0.0,9.321972873645388,rest
2047,0.20469999999999378,0.0,0.0,False,False,normal,0.0,9.321720599353027,rest
2048,0.20479999999999376,0.0,0.0,False,False,normal,0.0,9.321467016533655,rest
2049,0.20489999999999375,0.0,0.0,False,False,normal,0.0,9.321211043128901,rest
2050,0.20499999999999374,0.0,0.0,False,False,normal,0.0,9.32095233467559,rest
2051,0.20509999999999373,0.0,0.0,False,False,normal,0.0,9.320691087729895,rest
2052,0.20519999999999372,0.0,0.0,False,False,normal,0.0,9.32042783909776,rest
2053,0.2052999999999937,0.0,0.0,False,False,normal,0.0,9.320163176015477,rest
2054,0.2053999999999937,0.0,0.0,False,False,normal,0.0,9.319899084599905,rest
2055,0.2054999999999937,0.0,0.0,False,False,normal,0.0,9.319636171152053,rest
2056,0.20559999999999368,0.0,0.0,False,False,normal,0.0,9.31937373717064,rest
2057,0.20569999999999367,0.0,0.0,False,False,normal,0.0,9.319110403830205,rest
2058,0.20579999999999365,0.0,0.0,False,False,normal,0.0,9.318844716137134,rest
2059,0.20589999999999364,0.0,0.0,False,False,normal,0.0,9.318575628284995,rest
2060,0.20599999999999363,0.0,0.0,False,False,normal,0.0,9.318302750787481,rest
2061,0.20609999999999362,0.0,0.0,False,False,normal,0.0,9.31802617881889,rest
2062,0.2061999999999936,0.0,0.0,False,False,normal,0.0,9.317746248784424,rest
2063,0.2062999999999936,0.0,0.0,False,False,normal,0.0,9.317464819437815,rest
2064,0.2063999999999936,0.0,0.0,False,False,normal,0.0,9.317182467411827,rest
2065,0.20649999999999358,0.0,0.0,False,False,normal,0.0,9.316898574402728,rest
2066,0.20659999999999357,0.0,0.0,False,False,normal,0.0,9.31661195702709,rest
2067,0.20669999999999356,0.0,0.0,False,False,normal,0.0,9.316321448287535,rest
2068,0.20679999999999354,0.0,0.0,False,False,normal,0.0,9.31602632119598,rest
2069,0.20689999999999353,0.0,0.0,False,False,normal,0.0,9.315726499603262,rest
2070,0.20699999999999352,0.0,0.0,False,False,normal,0.0,9.315422366468688,rest
2071,0.2070999999999935,0.0,0.0,False,False,normal,0.0,9.315114548345818,rest
2072,0.2071999999999935,0.0,0.0,False,False,normal,0.0,9.314803967926284,rest
2073,0.2072999999999935,0.0,0.0,False,False,normal,0.0,9.3144925162556,rest
2074,0.20739999999999348,0.0,0.0,False,False,normal,0.0,9.314180651950071,rest
2075,0.20749999999999347,0.0,0.0,False,False,normal,0.0,9.313867999975882,rest
2076,0.20759999999999346,0.0,0.0,False,False,normal,0.0,9.313553772995647,rest
2077,0.20769999999999345,0.0,0.0,False,False,normal,0.0,9.313237162631353,rest
2078,0.20779999999999343,0.0,0.0,False,False,normal,0.0,9.312917656935987,rest
2079,0.20789999999999342,0.0,0.0,False,False,normal,0.0,9.312595182996954,rest
2080,0.2079999999999934,0.0,0.0,False,False,normal,0.0,9.312270033389318,rest
2081,0.2080999999999934,0.0,0.0,False,False,normal,0.0,9.311942712341137,rest
2082,0.2081999999999934,0.0,0.0,False,False,normal,0.0,9.311614018367083,rest
2083,0.20829999999999338,0.0,0.0,False,False,normal,0.0,9.311285102971928,rest
2084,0.20839999999999337,0.0,0.0,False,False,normal,0.0,9.310956614983407,rest
2085,0.20849999999999336,0.0,0.0,False,False,normal,0.0,9.310628754085444,rest
2086,0.20859999999999335,0.0,0.0,False,False,normal,0.0,9.310301495187696,rest
2087,0.20869999999999334,0.0,0.0,False,False,normal,0.0,9.309974776371504,rest
2088,0.20879999999999332,0.0,0.0,False,False,normal,0.0,9.309648625188725,rest
2089,0.2088999999999933,0.0,0.0,False,False,normal,0.0,9.309323233430597,rest
2090,0.2089999999999933,0.0,0.0,False,False,normal,0.0,9.308998930934926,rest
2091,0.2090999999999933,0.0,0.0,False,False,normal,0.0,9.308676060793319,rest
2092,0.20919999999999328,0.0,0.0,False,False,normal,0.0,9.308353833538405,rest
2093,0.20929999999999327,0.0,0.0,False,False,normal,0.0,9.30803326989962,rest
2094,0.20939999999999326,0.0,0.0,False,False,normal,0.0,9.307714849012141,rest
2095,0.20949999999999325,0.0,0.0,False,False,normal,0.0,9.307398420315462,rest
2096,0.20959999999999324,0.0,0.0,False,False,normal,0.0,9.307083448451595,rest
2097,0.20969999999999323,0.0,0.0,False,False,normal,0.0,9.30676928266223,rest
2098,0.20979999999999321,0.0,0.0,False,False,normal,0.0,9.306455361005463,rest
2099,0.2098999999999932,0.0,0.0,False,False,normal,0.0,9.306141361921206,rest
2100,0.2099999999999932,0.0,0.0,False,False,normal,0.0,9.305827290999641,rest
2101,0.21009999999999318,0.0,0.0,False,False,normal,0.0,9.30551246533095,rest
2102,0.21019999999999317,0.0,0.0,False,False,normal,0.0,9.305196819101399,rest
2103,0.21029999999999316,0.0,0.0,False,False,normal,0.0,9.304882130094029,rest
2104,0.21039999999999315,0.0,0.0,False,False,normal,0.0,9.304569304467394,rest
2105,0.21049999999999314,0.0,0.0,False,False,normal,0.0,9.304258239603836,rest
2106,0.21059999999999313,0.0,0.0,False,False,normal,0.0,9.303948160542163,rest
2107,0.21069999999999312,0.0,0.0,False,False,normal,0.0,9.303638031453035,rest
2108,0.2107999999999931,0.0,0.0,False,False,normal,0.0,9.30332690911728,rest
2109,0.2108999999999931,0.0,0.0,False,False,normal,0.0,9.30301417554005,rest
2110,0.21099999999999308,0.0,0.0,False,False,normal,0.0,9.302699857642812,rest
2111,0.21109999999999307,0.0,0.0,False,False,normal,0.0,9.302383444689378,rest
2112,0.21119999999999306,0.0,0.0,False,False,normal,0.0,9.302065113055493,rest
2113,0.21129999999999305,0.0,0.0,False,False,normal,0.0,9.301746957382274,rest
2114,0.21139999999999304,0.0,0.0,False,False,normal,0.0,9.301430181047987,rest
