step,time_s,red_score,looming,visible,attack,mode,danger_score,forward_velocity,dragonfly_state
2001,0.20009999999999428,7.378472222222222e-05,4.340277777777778e-05,False,False,watch,0.02280454282407407,3.5,looming
2002,0.20019999999999427,7.378472222222222e-05,0.0,False,False,watch,0.0038158275462962963,3.5,looming
2003,0.20029999999999426,7.378472222222222e-05,0.0,False,False,watch,0.0038158275462962963,3.5,looming
2004,0.20039999999999425,7.378472222222222e-05,0.0,False,False,watch,0.0038158275462962963,3.5,looming
2005,0.20049999999999424,7.378472222222222e-05,0.0,False,False,watch,0.0038158275462962963,3.5,looming
2006,0.20059999999999423,7.378472222222222e-05,0.0,False,False,watch,0.0038158275462962963,3.5,looming
2007,0.20069999999999422,7.378472222222222e-05,0.0,False,False,watch,0.0038158275462962963,3.5,looming
2008,0.2007999999999942,7.378472222222222e-05,0.0,False,False,watch,0.0038158275462962963,3.5,looming
2009,0.2008999999999942,7.378472222222222e-05,0.0,False,False,watch,0.0038158275462962963,3.5,looming
2010,0.20099999999999418,7.378472222222222e-05,0.0,False,False,watch,0.0038158275462962963,3.5,looming
2011,0.20109999999999417,7.378472222222222e-05,0.0,False,False,watch,0.0038158275462962963,3.5,looming
2012,0.20119999999999416,7.378472222222222e-05,0.0,False,False,watch,0.0038158275462962963,3.5,looming
2013,0.20129999999999415,7.378472222222222e-05,0.0,False,False,watch,0.0038158275462962963,3.5,looming
2014,0.20139999999999414,7.378472222222222e-05,0.0,False,False,watch,0.0038158275462962963,3.5,looming
2015,0.20149999999999413,7.378472222222222e-05,0.0,False,False,watch,0.0038158275462962963,3.5,looming
2016,0.20159999999999412,7.378472222222222e-05,0.0,False,False,watch,0.0038158275462962963,3.5,looming
2017,0.2016999999999941,7.378472222222222e-05,0.0,False,False,watch,0.0038158275462962963,3.5,looming
2018,0.2017999999999941,7.378472222222222e-05,0.0,False,False,watch,0.0038158275462962963,3.5,looming
2019,0.20189999999999408,7.378472222222222e-05,0.0,False,False,watch,0.0038158275462962963,3.5,looming
2020,0.20199999999999407,7.378472222222222e-05,0.0,False,False,watch,0.0038158275462962963,3.5,looming
2021,0.20209999999999406,7.378472222222222e-05,0.0,False,False,watch,0.0038158275462962963,3.5,looming
2022,0.20219999999999405,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2023,0.20229999999999404,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2024,0.20239999999999403,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2025,0.20249999999999402,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2026,0.202599999999994,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2027,0.202699999999994,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2028,0.20279999999999399,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2029,0.20289999999999397,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2030,0.20299999999999396,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2031,0.20309999999999395,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2032,0.20319999999999394,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2033,0.20329999999999393,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2034,0.20339999999999392,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2035,0.2034999999999939,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2036,0.2035999999999939,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2037,0.20369999999999389,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2038,0.20379999999999387,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2039,0.20389999999999386,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2040,0.20399999999999385,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2041,0.20409999999999384,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2042,0.20419999999999383,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2043,0.20429999999999382,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2044,0.2043999999999938,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2045,0.2044999999999938,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2046,0.2045999999999938,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2047,0.20469999999999378,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2048,0.20479999999999376,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2049,0.20489999999999375,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2050,0.20499999999999374,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2051,0.20509999999999373,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2052,0.20519999999999372,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2053,0.2052999999999937,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2054,0.2053999999999937,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2055,0.2054999999999937,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2056,0.20559999999999368,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2057,0.20569999999999367,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2058,0.20579999999999365,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2059,0.20589999999999364,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2060,0.20599999999999363,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2061,0.20609999999999362,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2062,0.2061999999999936,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2063,0.2062999999999936,5.642361111111111e-05,0.0,False,False,watch,0.003309461805555556,3.5,looming
2064,0.2063999999999936,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2065,0.20649999999999358,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2066,0.20659999999999357,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2067,0.20669999999999356,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2068,0.20679999999999354,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2069,0.20689999999999353,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2070,0.20699999999999352,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2071,0.2070999999999935,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2072,0.2071999999999935,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2073,0.2072999999999935,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2074,0.20739999999999348,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2075,0.20749999999999347,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2076,0.20759999999999346,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2077,0.20769999999999345,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2078,0.20779999999999343,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2079,0.20789999999999342,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2080,0.2079999999999934,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2081,0.2080999999999934,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2082,0.2081999999999934,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2083,0.20829999999999338,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2084,0.20839999999999337,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2085,0.20849999999999336,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2086,0.20859999999999335,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2087,0.20869999999999334,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2088,0.20879999999999332,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2089,0.2088999999999933,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2090,0.2089999999999933,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2091,0.2090999999999933,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
2092,0.20919999999999328,5.208333333333334e-05,0.0,False,False,watch,0.002965856481481481,3.5,looming
