step,time_s,red_score,looming,visible,attack,mode,danger_score,forward_velocity,dragonfly_state
2001,0.20009999999999428,0.0,0.0,False,False,normal,0.0,8.868422084861688,rest
2002,0.20019999999999427,0.0,0.0,False,False,normal,0.0,8.868433695855153,rest
2003,0.20029999999999426,0.0,0.0,False,False,normal,0.0,8.8684189406167,rest
2004,0.20039999999999425,0.0,0.0,False,False,normal,0.0,8.868392780906705,rest
2005,0.20049999999999424,0.0,0.0,False,False,normal,0.0,8.868360549796426,rest
2006,0.20059999999999423,0.0,0.0,False,False,normal,0.0,8.868324594501791,rest
2007,0.20069999999999422,0.0,0.0,False,False,normal,0.0,8.868286130957085,rest
2008,0.2007999999999942,0.0,0.0,False,False,normal,0.0,8.868247292411432,rest
2009,0.2008999999999942,0.0,0.0,False,False,normal,0.0,8.868210412837337,rest
2010,0.20099999999999418,0.0,0.0,False,False,normal,0.0,8.868177694498389,rest
2011,0.20109999999999417,0.0,0.0,False,False,normal,0.0,8.868151079506486,rest
2012,0.20119999999999416,0.0,0.0,False,False,normal,0.0,8.868129797699808,rest
2013,0.20129999999999415,0.0,0.0,False,False,normal,0.0,8.868111461106572,rest
2014,0.20139999999999414,0.0,0.0,False,False,normal,0.0,8.868094608438547,rest
2015,0.20149999999999413,0.0,0.0,False,False,normal,0.0,8.868078455773011,rest
2016,0.20159999999999412,0.0,0.0,False,False,normal,0.0,8.868062774957803,rest
2017,0.2016999999999941,0.0,0.0,False,False,normal,0.0,8.868047680209015,rest
2018,0.2017999999999941,0.0,0.0,False,False,normal,0.0,8.868031533463892,rest
2019,0.20189999999999408,0.0,0.0,False,False,normal,0.0,8.868013936031808,rest
2020,0.20199999999999407,0.0,0.0,False,False,normal,0.0,8.867995476115542,rest
2021,0.20209999999999406,0.0,0.0,False,False,normal,0.0,8.867977254992974,rest
2022,0.20219999999999405,0.0,0.0,False,False,normal,0.0,8.867960475695725,rest
2023,0.20229999999999404,0.0,0.0,False,False,normal,0.0,8.867946161844843,rest
2024,0.20239999999999403,0.0,0.0,False,False,normal,0.0,8.867935027714513,rest
2025,0.20249999999999402,0.0,0.0,False,False,normal,0.0,8.867927443781538,rest
2026,0.202599999999994,0.0,0.0,False,False,normal,0.0,8.867923445317631,rest
2027,0.202699999999994,0.0,0.0,False,False,normal,0.0,8.86792274876641,rest
2028,0.20279999999999399,0.0,0.0,False,False,normal,0.0,8.86792479280166,rest
2029,0.20289999999999397,0.0,0.0,False,False,normal,0.0,8.867927317894658,rest
2030,0.20299999999999396,0.0,0.0,False,False,normal,0.0,8.86792874816765,rest
2031,0.20309999999999395,0.0,0.0,False,False,normal,0.0,8.867928237363818,rest
2032,0.20319999999999394,0.0,0.0,False,False,normal,0.0,8.867925490743374,rest
2033,0.20329999999999393,0.0,0.0,False,False,normal,0.0,8.867920572325378,rest
2034,0.20339999999999392,0.0,0.0,False,False,normal,0.0,8.867913737973845,rest
2035,0.2034999999999939,0.0,0.0,False,False,normal,0.0,8.86790530716169,rest
2036,0.2035999999999939,0.0,0.0,False,False,normal,0.0,8.867895577553933,rest
2037,0.20369999999999389,0.0,0.0,False,False,normal,0.0,8.867884780030671,rest
2038,0.20379999999999387,0.0,0.0,False,False,normal,0.0,8.86787306692998,rest
2039,0.20389999999999386,0.0,0.0,False,False,normal,0.0,8.86785968460387,rest
2040,0.20399999999999385,0.0,0.0,False,False,normal,0.0,8.867844333597603,rest
2041,0.20409999999999384,0.0,0.0,False,False,normal,0.0,8.86782717523822,rest
2042,0.20419999999999383,0.0,0.0,False,False,normal,0.0,8.867808686533959,rest
2043,0.20429999999999382,0.0,0.0,False,False,normal,0.0,8.867789508662717,rest
2044,0.2043999999999938,0.0,0.0,False,False,normal,0.0,8.867770318931685,rest
2045,0.2044999999999938,0.0,0.0,False,False,normal,0.0,8.867751736272144,rest
2046,0.2045999999999938,0.0,0.0,False,False,normal,0.0,8.867734283065863,rest
2047,0.20469999999999378,0.0,0.0,False,False,normal,0.0,8.867718356431858,rest
2048,0.20479999999999376,0.0,0.0,False,False,normal,0.0,8.867704221680658,rest
2049,0.20489999999999375,0.0,0.0,False,False,normal,0.0,8.86769202562773,rest
2050,0.20499999999999374,0.0,0.0,False,False,normal,0.0,8.867680925584656,rest
2051,0.20509999999999373,0.0,0.0,False,False,normal,0.0,8.867670516884486,rest
2052,0.20519999999999372,0.0,0.0,False,False,normal,0.0,8.867660846395637,rest
2053,0.2052999999999937,0.0,0.0,False,False,normal,0.0,8.867652283922483,rest
2054,0.2053999999999937,0.0,0.0,False,False,normal,0.0,8.867645381836095,rest
2055,0.2054999999999937,0.0,0.0,False,False,normal,0.0,8.867640740612448,rest
2056,0.20559999999999368,0.0,0.0,False,False,normal,0.0,8.8676389015772,rest
2057,0.20569999999999367,0.0,0.0,False,False,normal,0.0,8.867640275752148,rest
2058,0.20579999999999365,0.0,0.0,False,False,normal,0.0,8.867645109521668,rest
2059,0.20589999999999364,0.0,0.0,False,False,normal,0.0,8.86765348233041,rest
2060,0.20599999999999363,0.0,0.0,False,False,normal,0.0,8.867665328212217,rest
2061,0.20609999999999362,0.0,0.0,False,False,normal,0.0,8.867679546813392,rest
2062,0.2061999999999936,0.0,0.0,False,False,normal,0.0,8.867695485884727,rest
2063,0.2062999999999936,0.0,0.0,False,False,normal,0.0,8.86771296316478,rest
2064,0.2063999999999936,0.0,0.0,False,False,normal,0.0,8.867732146579273,rest
2065,0.20649999999999358,0.0,0.0,False,False,normal,0.0,8.867758088355908,rest
2066,0.20659999999999357,0.0,0.0,False,False,normal,0.0,8.86779381102588,rest
2067,0.20669999999999356,0.0,0.0,False,False,normal,0.0,8.867840185095822,rest
2068,0.20679999999999354,0.0,0.0,False,False,normal,0.0,8.867896443251013,rest
2069,0.20689999999999353,0.0,0.0,False,False,normal,0.0,8.867960769392171,rest
2070,0.20699999999999352,0.0,0.0,False,False,normal,0.0,8.868029625554822,rest
2071,0.2070999999999935,0.0,0.0,False,False,normal,0.0,8.86809967780006,rest
2072,0.2071999999999935,0.0,0.0,False,False,normal,0.0,8.868168341144683,rest
2073,0.2072999999999935,0.0,0.0,False,False,normal,0.0,8.868233902790518,rest
2074,0.20739999999999348,0.0,0.0,False,False,normal,0.0,8.86829553595776,rest
2075,0.20749999999999347,0.0,0.0,False,False,normal,0.0,8.868354223753029,rest
2076,0.20759999999999346,0.0,0.0,False,False,normal,0.0,8.868416351995364,rest
